Dolores Umbridge - Order of the Phoenix,"I will have order."
Harry Potter - Order of the Phoenix,"I must not tell lies, professor."
Gilderoy Lockhart - Chamber of Secret,"Pretty obvious"
Professor Trelawney - Prisoner of Azkaban,"The stars have shown me… but then again, they lie sometimes."
Moaning Myrtle - Chamber of Secrets,"You can’t hide from your past, you know."
Severus Snape - the Half-Blood Prince,"How dare you use my own spells against me, Potter!"
Severus Snape - Deathly Hallows,"Dumbledore watched her fly away, and as her silvery glow faded he turned back to Snape, and his eyes were full of tears. ‘After all this time?’ ‘Always,’ said Snape."
Ron Weasley - Deathly Hallows,"‘Why are they all staring?’ demanded Albus as he and Rose craned around to look at the other students. ‘Don’t let it worry you,’ said Ron. ‘It’s me. I’m extremely famous.’"
Albus Dumbledore - Deathly Hallows,"Do not pity the dead, Harry. Pity the living, and, above all, those who live without love."
Albus Dumbledore - Deathly Hallows,"Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?"
Minerva McGonagall - Deathly Hallows,"I've always wanted to use that spell."
Albus Dumbledore - Deathly Hallows,"It is a curious thing, Harry, but perhaps those who are best suited to power are those who have never sought it. Those who, like you, have leadership thrust upon them, and take up the mantle because they must, and find to their own surprise that they wear it well."
Molly Weasley - Deathly Hallows,"Not my daughter, you b*tch!"
Ron Weasley - Deathly Hallows,"‘Ron, you know full well Harry and I were brought up by Muggles!’ said Hermione. ‘We didn’t hear stories like that when we were little, we heard ‘Snow White and the Seven Dwarfs’ and ‘Cinderella’ —’ ‘What’s that, an illness?’ asked Ron."
Albus Dumbledore - Deathly Hallows,"Words are, in my not-so-humble opinion, our most inexhaustible source of magic. Capable of both inflicting injury, and remedying it."
Fred Weasley - Deathly Hallows,"He can run faster than Severus Snape confronted with shampoo."
Kingsley Shacklebolt - Deathly Hallows,"We’re all human, aren’t we? Every human life is worth the same, and worth saving."
Harry Potter - Deathly Hallows,"That wand’s more trouble than it’s worth. And quite honestly, I’ve had enough trouble for a lifetime."
Sirius Black - Deathly Hallows,"‘Does it hurt?’ The childish question had escaped Harry's lips before he could stop it. ‘Dying? Not at all,’ said Sirius. ‘Quicker and easier than falling asleep.’"
Harry Potter - Deathly Hallows,"I’m going to keep going until I succeed—or I die. Don’t think I don’t know how this might end. I’ve known it for years."
Remus Lupin - Deathly Hallows,"It is the quality of one’s convictions that determines success, not the number of followers."
Ginny Weasley - Philosopher's stone,"The thing about growing up with Fred and George is that you sort of start thinking anything's possible if you've got enough nerve."
Aragog - Chamber of Secrets,"Goodbye, friends of Hagrid"
Hermione Granger - Philosopher's stone,"Nearly headless. How can you be nearly headless?"
Albus Dumbledore - the Half-Blood Prince,"It is the unknown we fear when we look upon death and darkness, nothing more."
Nearly Headless Nick - Chamber of Secrets,"Once again, you show all the sensitivity of a blunt axe."
Seamus Finnigan - the Half-Blood Prince,"I am a wizard, not a baboon brandishing a stick."
Luna Lovegood - the Half-Blood Prince,"You’re just as sane as I am."
Hermione Granger - the Half-Blood Prince,"Dumbledore says people find it far easier to forgive others for being wrong than being right."
Albus Dumbledore - the Half-Blood Prince,"And now, Harry, let us step out into the night and pursue that flighty temptress, adventure."
Luna Lovegood - Order of the Phoenix,"Wit beyond measure is man’s greatest treasure."
